  t(ticks) ;   id_viat ;   destino ;   t_estac ;   t_vida ;   observs
     20671 ;         1 ;         E ;     50000 ;        ? ;   Entrou!
     40744 ;         2 ;         S ;     10000 ;        ? ;   Entrou!
     46062 ;         2 ;         S ;     10000 ;     5318 ; Saiu!
     50752 ;         3 ;         N ;     60000 ;        ? ;   Entrou!
     50826 ;         4 ;         E ;     70000 ;        ? ;   Entrou!
     57746 ;         1 ;         E ;     50000 ;    37075 ; Saiu!
     60876 ;         5 ;         W ;     30000 ;        ? ;   Entrou!
     70943 ;         6 ;         E ;     30000 ;        ? ;   Entrou!
     71085 ;         8 ;         E ;     80000 ;        ? ;   Entrou!
     74108 ;         5 ;         W ;     30000 ;    13232 ; Saiu!
     74411 ;         3 ;         N ;     60000 ;    23659 ; Saiu!
     71021 ;         7 ;         E ;     40000 ;        ? ;   Entrou!
     77530 ;         4 ;         E ;     70000 ;    26704 ; Saiu!
     79874 ;         6 ;         E ;     30000 ;     8931 ; Saiu!
     91107 ;         9 ;         N ;     40000 ;        ? ;   Entrou!
     93034 ;         7 ;         E ;     40000 ;    22013 ; Saiu!
    108009 ;         8 ;         E ;     80000 ;    36924 ; Saiu!
    111148 ;        10 ;         S ;     10000 ;        ? ;   Entrou!
    112308 ;         9 ;         N ;     40000 ;    21201 ; Saiu!
    111199 ;        11 ;         E ;    100000 ;        ? ;   Entrou!
    116738 ;        10 ;         S ;     10000 ;     5590 ; Saiu!
    121226 ;        12 ;         E ;     70000 ;        ? ;   Entrou!
    141282 ;        13 ;         S ;     50000 ;        ? ;   Entrou!
    151310 ;        12 ;         E ;     70000 ;    30084 ; Saiu!
    151334 ;        14 ;         E ;     50000 ;        ? ;   Entrou!
    151385 ;        15 ;         E ;     60000 ;        ? ;   Entrou!
    155928 ;        11 ;         E ;    100000 ;    44729 ; Saiu!
    156704 ;        13 ;         S ;     50000 ;    15422 ; Saiu!
    161466 ;        16 ;         W ;     90000 ;        ? ;   Entrou!
    170547 ;        14 ;         E ;     50000 ;    19213 ; Saiu!
    171445 ;        17 ;         S ;     30000 ;        ? ;   Entrou!
    171467 ;        18 ;         S ;    100000 ;        ? ;   Entrou!
    177508 ;        15 ;         E ;     60000 ;    26123 ; Saiu!
    171614 ;        19 ;         N ;    100000 ;        ? ;   Entrou!
    181363 ;        17 ;         S ;     30000 ;     9918 ; Saiu!
    181496 ;        20 ;         W ;     30000 ;        ? ;   Entrou!
    191707 ;        20 ;         W ;     30000 ;    10211 ; Saiu!
    194320 ;        16 ;         W ;     90000 ;    32854 ; Saiu!
    201531 ;        21 ;         E ;     90000 ;        ? ;   Entrou!
    211989 ;        18 ;         S ;    100000 ;    40522 ; Saiu!
    212199 ;        19 ;         N ;    100000 ;    40585 ; Saiu!
    221570 ;        22 ;         S ;     30000 ;        ? ;   Entrou!
    231607 ;        23 ;         N ;     20000 ;        ? ;   Entrou!
    231725 ;        24 ;         E ;     40000 ;        ? ;   Entrou!
    235548 ;        22 ;         S ;     30000 ;    13978 ; Saiu!
    238795 ;        23 ;         N ;     20000 ;     7188 ; Saiu!
    241682 ;        25 ;         W ;     30000 ;        ? ;   Entrou!
    241722 ;        26 ;         W ;    100000 ;        ? ;   Entrou!
    241754 ;        27 ;         N ;     30000 ;        ? ;   Entrou!
    244668 ;        21 ;         E ;     90000 ;    43137 ; Saiu!
    247916 ;        24 ;         E ;     40000 ;    16191 ; Saiu!
    250056 ;        25 ;         W ;     30000 ;     8374 ; Saiu!
    251387 ;        27 ;         N ;     30000 ;     9633 ; Saiu!
    251786 ;        28 ;         S ;    100000 ;        ? ;   Entrou!
    251843 ;        29 ;         S ;     90000 ;        ? ;   Entrou!
    251877 ;        30 ;         N ;     80000 ;        ? ;   Entrou!
    262961 ;        31 ;         E ;    100000 ;        ? ;   Entrou!
    270656 ;        26 ;         W ;    100000 ;    28934 ; Saiu!
